"result_@id","result_@score","result_info_authors_author_@pid","result_info_authors_author_text","result_info_doi","result_info_ee","result_info_key","result_info_number","result_info_pages","result_info_publisher","result_info_title","result_info_type","result_info_url","result_info_venue","result_info_volume","result_info_year","result_url"
"2204726","4","140/0296","Imen Cheikhrouhou","","https://tel.archives-ouvertes.fr/tel-00875976","phd/hal/Cheikhrouhou12","","","","Description et classification des masses mammaires pour le diagnostic du cancer du sein. (Description and classification of breast masses for the diagnosis of breast cancer).","Books and Theses","https://dblp.org/rec/phd/hal/Cheikhrouhou12","","","2012","URL#2204726"
"2313708","4","21/11407","Mirella Bernabò","","","conf/biostec/CasaliMBB12","","173-178","","X-Report Breast - IT Tools to Early Detect Breast Cancer through Optical Imaging - Dynamic Optical Breast Imaging, Dobi.","Conference and Workshop Papers","https://dblp.org/rec/conf/biostec/CasaliMBB12","BIODEVICES","","2012","URL#2313708"
"2462011","4","42/5644","Rangaraj M. Rangayyan","10.2200/S00325ED1V01Y201012BME039","https://doi.org/10.2200/S00325ED1V01Y201012BME039","series/synthesis/2011Guliato","","","Morgan &amp; Claypool Publishers","Modeling and Analysis of Shape with Applications in Computer-Aided Diagnosis of Breast Cancer","Books and Theses","https://dblp.org/rec/series/synthesis/2011Guliato","Synthesis Lectures on Biomedical Engineering","","2011","URL#2462011"
"2595928","4","75/8284","Herbert Stekel","10.1145/2001858.2002040","https://doi.org/10.1145/2001858.2002040","conf/gecco/WinklerAJS11","","503-510","","Identification of cancer diagnosis estimation models using evolutionary algorithms - a case study for breast cancer, melanoma, and cancer in the respiratory system.","Conference and Workshop Papers","https://dblp.org/rec/conf/gecco/WinklerAJS11","GECCO","","2011","URL#2595928"
"82915","3","02/9497","Yasir Faheem","10.1016/J.FUTURE.2019.01.033","https://doi.org/10.1016/j.future.2019.01.033","journals/fgcs/KhanIJDKF19","","286-296","","An e-Health care services framework for the detection and classification of breast cancer in breast cytology images as an IoMT application.","Journal Articles","https://dblp.org/rec/journals/fgcs/KhanIJDKF19","Future Gener. Comput. Syst.","98","2019","URL#82915"
"96751","3","154/4319","Jan F. Nygård","10.1016/J.IJMEDINF.2019.03.004","https://doi.org/10.1016/j.ijmedinf.2019.03.004","journals/ijmi/Hartmann-Johnsen19","","102-109","","Using clinical cancer registry data for estimation of quality indicators - Results from the Norwegian breast cancer registry.","Journal Articles","https://dblp.org/rec/journals/ijmi/Hartmann-Johnsen19","Int. J. Medical Informatics","125","2019","URL#96751"
"97997","3","05/299","Zhanhuai Li","10.1016/J.NEUCOM.2018.03.072","https://doi.org/10.1016/j.neucom.2018.03.072","journals/ijon/GuoSL19","","20-30","","Identification of cancer subtypes by integrating multiple types of transcriptomics data with deep learning in breast cancer.","Journal Articles","https://dblp.org/rec/journals/ijon/GuoSL19","Neurocomputing","324","2019","URL#97997"
"108623","3","179/2242","Zahra Razaghi-Moghadam","10.1016/J.JBI.2019.103180","https://doi.org/10.1016/j.jbi.2019.103180","journals/jbi/ShamsizadehGR19","","","","CAMIRADA - Cancer microRNA association discovery algorithm, a case study on breast cancer.","Journal Articles","https://dblp.org/rec/journals/jbi/ShamsizadehGR19","J. Biomed. Informatics","94","2019","URL#108623"
"125541","3","247/6123","Eveline M. A. Bleiker","10.1186/S12911-019-0873-1","https://doi.org/10.1186/s12911-019-0873-1","journals/midm/StegeWHHDKRSWOB19","1","165:1-165:12","","The impact of an online patient decision aid for women with breast cancer considering immediate breast reconstruction - study protocol of a multicenter randomized controlled trial.","Journal Articles","https://dblp.org/rec/journals/midm/StegeWHHDKRSWOB19","BMC Med. Inf. &amp; Decision Making","19","2019","URL#125541"
"171060","3","212/9683","Kenny H. Cha","10.1109/TMI.2018.2870343","https://doi.org/10.1109/TMI.2018.2870343","journals/tmi/SamalaCHHRC19","3","686-696","","Breast Cancer Diagnosis in Digital Breast Tomosynthesis - Effects of Training Sample Size on Multi-Stage Transfer Learning Using Deep Neural Nets.","Journal Articles","https://dblp.org/rec/journals/tmi/SamalaCHHRC19","IEEE Trans. Med. Imaging","38","2019","URL#171060"
"177881","3","183/7099","Rajagopal Kadavigere","10.1007/S00371-017-1447-9","https://doi.org/10.1007/s00371-017-1447-9","journals/vc/SathishKPK19","1","57-70","","Role of normalization of breast thermogram images and automatic classification of breast cancer.","Journal Articles","https://dblp.org/rec/journals/vc/SathishKPK19","The Visual Computer","35","2019","URL#177881"
"193472","3","10/4151-4","Kun Huang 0004","10.1145/3307339.3342164","https://doi.org/10.1145/3307339.3342164","conf/bcb/GandhiLSZH019","","405-413","","Identifying Symptom Clusters in Breast Cancer and Colorectal Cancer Patients using EHR Data.","Conference and Workshop Papers","https://dblp.org/rec/conf/bcb/GandhiLSZH019","BCB","","2019","URL#193472"
"196437","3","23/2797","Bart Jansen","","http://ceur-ws.org/Vol-2491/abstract100.pdf","conf/bnaic/BrahimetajPTCWM19","","","","Computer Aided Detection and Diagnosis System for Breast Cancer Detection Based on High Resolution 3D micro-CT Breast Microcalcifications.","Conference and Workshop Papers","https://dblp.org/rec/conf/bnaic/BrahimetajPTCWM19","BNAIC/BENELEARN","","2019","URL#196437"
"219475","3","13/322","Qingmin Liao","10.1109/EMBC.2019.8856744","https://doi.org/10.1109/EMBC.2019.8856744","conf/embc/YangWCLL19","","4741-4744","","A Comprehensive Classification System for Breast Cancer Diagnosis Based on Dynamic Optical Breast Imaging.","Conference and Workshop Papers","https://dblp.org/rec/conf/embc/YangWCLL19","EMBC","","2019","URL#219475"
"271321","3","42/5693-3","Thomas Walter 0003","10.1109/ISBI.2019.8759205","https://doi.org/10.1109/ISBI.2019.8759205","conf/isbi/NaylorBLR019","","933-937","","Predicting Residual Cancer Burden In A Triple Negative Breast Cancer Cohort.","Conference and Workshop Papers","https://dblp.org/rec/conf/isbi/NaylorBLR019","ISBI","","2019","URL#271321"
"285444","3","23/2251","Maryellen L. Giger","10.1117/12.2513561","https://doi.org/10.1117/12.2513561","conf/micad/DrukkerEEDPKG19","","109502N","","Breast MRI radiomics for the pre-treatment prediction of response to neoadjuvant chemotherapy in node-positive breast cancer patients.","Conference and Workshop Papers","https://dblp.org/rec/conf/micad/DrukkerEEDPKG19","Medical Imaging - Computer-Aided Diagnosis","","2019","URL#285444"
"285503","3","80/2513","Shandong Wu","10.1117/12.2512943","https://doi.org/10.1117/12.2512943","conf/micad/NebbiaMCZZW19","","109502P","","Deep learning of sub-regional breast parenchyma in mammograms for localized breast cancer risk prediction.","Conference and Workshop Papers","https://dblp.org/rec/conf/micad/NebbiaMCZZW19","Medical Imaging - Computer-Aided Diagnosis","","2019","URL#285503"
"330425","3","234/8951","Suzanne R. Tamang","","http://arxiv.org/abs/1901.05958","journals/corr/abs-1901-05958","","","","A Semi-Supervised Machine Learning Approach to Detecting Recurrent Metastatic Breast Cancer Cases Using Linked Cancer Registry and Electronic Medical Record Data.","Informal Publications","https://dblp.org/rec/journals/corr/abs-1901-05958","CoRR","abs/1901.05958","2019","URL#330425"
"336372","3","179/2242","Zahra Razaghi-Moghadam","","http://arxiv.org/abs/1903.01854","journals/corr/abs-1903-01854","","","","CAMIRADA - Cancer microRNA association discovery algorithm, a case study on breast cancer.","Informal Publications","https://dblp.org/rec/journals/corr/abs-1903-01854","CoRR","abs/1903.01854","2019","URL#336372"
"373651","3","30/9774","Mitko Veta","","http://arxiv.org/abs/1911.00036","journals/corr/abs-1911-00036","","","","Deep learning assessment of breast terminal duct lobular unit involution - towards automated prediction of breast cancer risk.","Informal Publications","https://dblp.org/rec/journals/corr/abs-1911-00036","CoRR","abs/1911.00036","2019","URL#373651"
"382432","3","15/6270","A. Gregory Sorensen","","http://arxiv.org/abs/1912.11027","journals/corr/abs-1912-11027","","","","Robust breast cancer detection in mammography and digital breast tomosynthesis using annotation-efficient deep learning approach.","Informal Publications","https://dblp.org/rec/journals/corr/abs-1912-11027","CoRR","abs/1912.11027","2019","URL#382432"
"405492","3","02/369","Shuqin Zhang","10.1186/S12918-018-0530-9","https://doi.org/10.1186/s12918-018-0530-9","journals/bmcsb/Zhang18","1","75-87","","Comparisons of gene coexpression network modules in breast cancer and ovarian cancer.","Journal Articles","https://dblp.org/rec/journals/bmcsb/Zhang18","BMC Systems Biology","12","2018","URL#405492"
"413699","3","178/5566","Khaled Riad","10.1016/J.CMPB.2017.10.016","https://doi.org/10.1016/j.cmpb.2017.10.016","journals/cmpb/HamoudaWAR18","","259-268","","Robust breast cancer prediction system based on rough set theory at National Cancer Institute of Egypt.","Journal Articles","https://dblp.org/rec/journals/cmpb/HamoudaWAR18","Comput. Methods Programs Biomed.","153","2018","URL#413699"
"443290","3","228/4433","Priya Tushar Hankare","10.1504/IJMEI.2018.10014081","https://doi.org/10.1504/IJMEI.2018.10014081","journals/ijmei/Hankare18","4","297-312","","Breast abnormality based early diagnosis of breast cancer using non-invasive digital infrared thermal imaging.","Journal Articles","https://dblp.org/rec/journals/ijmei/Hankare18","IJMEI","10","2018","URL#443290"
"503088","3","71/4445","Jaydev P. Desai","10.1109/TBME.2017.2695103","https://doi.org/10.1109/TBME.2017.2695103","journals/tbe/ParkCCFD18","1","96-103","","Electromechanical Coupling Factor of Breast Tissue as a Biomarker for Breast Cancer.","Journal Articles","https://dblp.org/rec/journals/tbe/ParkCCFD18","IEEE Trans. Biomed. Engineering","65","2018","URL#503088"
"539357","3","26/6426","Jean-Marc Schwartz","10.1109/BIBM.2018.8621315","http://doi.ieeecomputersociety.org/10.1109/BIBM.2018.8621315","conf/bibm/BuigaSS18","","260-264","","A meta-analysis portal for human breast cancer transcriptomics data - BreastCancerVis.","Conference and Workshop Papers","https://dblp.org/rec/conf/bibm/BuigaSS18","BIBM","","2018","URL#539357"
"635299","3","16/6539","Robert M. Nishikawa","10.1117/12.2318324","https://doi.org/10.1117/12.2318324","conf/iwbi/LeeSN18","","107180G","","Developing imaging biomarkers for mammographically-occult cancer in dense breasts using a radiologist&apos;s progress rating on cancer development - a preliminary analysis.","Conference and Workshop Papers","https://dblp.org/rec/conf/iwbi/LeeSN18","IWBI","","2018","URL#635299"
"635327","3","23/8176","Yasuaki Arai","10.1117/12.2317675","https://doi.org/10.1117/12.2317675","conf/iwbi/UchiyamaKKYKOA18","","107181O","","Preliminary experiences of DBT (digital breast tomosynthesis) and hybrid 18F-FDG-PET/MR (PETMR) for neoadjuvant chemotherapy (NAC) cases in breast cancer.","Conference and Workshop Papers","https://dblp.org/rec/conf/iwbi/UchiyamaKKYKOA18","IWBI","","2018","URL#635327"
"641582","3","23/2251","Maryellen L. Giger","10.1117/12.2293644","https://doi.org/10.1117/12.2293644","conf/micad/DrukkerAEPPAKG18","","105753U","","Radiomics for ultrafast dynamic contrast-enhanced breast MRI in the diagnosis of breast cancer - a pilot study.","Conference and Workshop Papers","https://dblp.org/rec/conf/micad/DrukkerAEPPAKG18","Medical Imaging - Computer-Aided Diagnosis","","2018","URL#641582"
"641653","3","212/9683","Kenny H. Cha","10.1117/12.2293412","https://doi.org/10.1117/12.2293412","conf/micad/SamalaCHHRC18","","105750Q","","Cross-domain and multi-task transfer learning of deep convolutional neural network for breast cancer diagnosis in digital breast tomosynthesis.","Conference and Workshop Papers","https://dblp.org/rec/conf/micad/SamalaCHHRC18","Medical Imaging - Computer-Aided Diagnosis","","2018","URL#641653"
"643017","3","97/3152","Yu-Chuan (Jack) Li","10.3233/978-1-61499-852-5-661","https://doi.org/10.3233/978-1-61499-852-5-661","conf/mie/NguyenYXL18","","661-665","","An Automated Technique to Construct a Knowledge Base of Traditional Chinese Herbal Medicine for Cancers - An Exploratory Study for Breast Cancer.","Conference and Workshop Papers","https://dblp.org/rec/conf/mie/NguyenYXL18","MIE","","2018","URL#643017"
"643348","3","33/4129","Susan M. Astley","10.1117/12.2293307","https://doi.org/10.1117/12.2293307","conf/miipop/RaynerHFWGBL0BB18","","105770W","","Reader performance in visual assessment of breast density using visual analogue scales - are some readers more predictive of breast cancer?","Conference and Workshop Papers","https://dblp.org/rec/conf/miipop/RaynerHFWGBL0BB18","Medical Imaging - Image Perception, Observer Performance, and Technology Assessment","","2018","URL#643348"
"710233","3","179/2242","Zahra Razaghi-Moghadam","","http://arxiv.org/abs/1806.07245","journals/corr/abs-1806-07245","","","","CAMIRADA - Cancer microRNA association discovery algorithm, a case study on breast cancer.","Informal Publications","https://dblp.org/rec/journals/corr/abs-1806-07245","CoRR","abs/1806.07245","2018","URL#710233"
"737932","3","177/9104","Bassem Ben Cheikh","","https://tel.archives-ouvertes.fr/tel-02295572","phd/hal/Cheikh17","","","","Graph-based Mathematical Morphology for the Characterization of the Spatial Organization of Histological Structures in High-Content Images - Application to Tumor Microenvironement in Breast Cancer. (Morphologie mathématique sur les graphes pour la caractérisation de l&apos;organisation spatiale des structures histologiques dans les images haut-contenu - application au microenvironnement tumoral dans le cancer du sein).","Books and Theses","https://dblp.org/rec/phd/hal/Cheikh17","","","2017","URL#737932"
"738235","3","164/7317","Yunlong Jiao","","https://tel.archives-ouvertes.fr/tel-01744747","phd/hal/Jiao17","","","","Rank-based Molecular Prognosis and Network-guided Biomarker Discovery for Breast Cancer. (Pronostic moléculaire basé sur l&apos;ordre des gènes et découverte de biomarqueurs guidé par des réseaux pour le cancer du sein).","Books and Theses","https://dblp.org/rec/phd/hal/Jiao17","","","2017","URL#738235"
"738577","3","219/4986","Julie Poujol","","https://tel.archives-ouvertes.fr/tel-01760301","phd/hal/Poujol17","","","","Techniques d&apos;acquisitions et reconstructions IRM rapides pour améliorer la détection du cancer du sein. (Rapid MRI acquisition and reconstruction techniques to improve breast cancer detection).","Books and Theses","https://dblp.org/rec/phd/hal/Poujol17","","","2017","URL#738577"
"738854","3","204/2653","Yosra Ben Salem","","https://tel.archives-ouvertes.fr/tel-01803019","phd/hal/salem17","","","","Fusion d&apos;images multimodales pour l&apos;aide au diagnostic du cancer du sein. (Multimodal image fusion for breast cancer aided diagnosis).","Books and Theses","https://dblp.org/rec/phd/hal/salem17","","","2017","URL#738854"
"739213","3","209/0176","Bernhard B. Zimmermann","","http://hdl.handle.net/1721.1/112045","phd/ndltd/Zimmermann17","","","","A multimodal breast cancer imaging system using coregistered dynamic diffuse optical tomography and digital breast tomosynthesis.","Books and Theses","https://dblp.org/rec/phd/ndltd/Zimmermann17","","","2017","URL#739213"
"750328","3","44/8766","Aleksander S. Popel","10.1186/S12918-017-0445-X","https://doi.org/10.1186/s12918-017-0445-x","journals/bmcsb/NortonWPP17","1","68:1-68:15","","An agent-based model of triple-negative breast cancer - the interplay between chemokine receptor CCR5 expression, cancer stem cells, and hypoxia.","Journal Articles","https://dblp.org/rec/journals/bmcsb/NortonWPP17","BMC Systems Biology","11","2017","URL#750328"
"800703","3","19/5088","Hiroki Shirato","10.1007/S10278-016-9922-9","https://doi.org/10.1007/s10278-016-9922-9","journals/jdi/WangKYBCLOS17","2","215-227","","Automatic Estimation of Volumetric Breast Density Using Artificial Neural Network-Based Calibration of Full-Field Digital Mammography - Feasibility on Japanese Women With and Without Breast Cancer.","Journal Articles","https://dblp.org/rec/journals/jdi/WangKYBCLOS17","J. Digital Imaging","30","2017","URL#800703"
"932717","3","19/9342","Lorenzo Leija","10.1109/ICEEE.2017.8108865","https://doi.org/10.1109/ICEEE.2017.8108865","conf/iceee/ManzanarezVL17","","1-7","","Optimization of the design of the microcoaxial antenna in multilayer breast phantom for the breast cancer treatment.","Conference and Workshop Papers","https://dblp.org/rec/conf/iceee/ManzanarezVL17","CCE","","2017","URL#932717"
"975366","3","s/JohnShepherd","John Shepherd","10.1117/12.2254516","https://doi.org/10.1117/12.2254516","conf/micad/DrukkerHGMAFJKD17","","101341F","","Deep learning and three-compartment breast imaging in breast cancer diagnosis.","Conference and Workshop Papers","https://dblp.org/rec/conf/micad/DrukkerHGMAFJKD17","Medical Imaging - Computer-Aided Diagnosis","","2017","URL#975366"
"975373","3","45/2191","Despina Kontos","10.1117/12.2254630","https://doi.org/10.1117/12.2254630","conf/micad/GastouniotiOHPC17","","1013417","","Mammographic phenotypes of breast cancer risk driven by breast anatomy.","Conference and Workshop Papers","https://dblp.org/rec/conf/micad/GastouniotiOHPC17","Medical Imaging - Computer-Aided Diagnosis","","2017","URL#975373"
"975444","3","45/2191","Despina Kontos","10.1117/12.2254506","https://doi.org/10.1117/12.2254506","conf/micad/OustimovGHPCK17","","101340S","","Convolutional neural network approach for enhanced capture of breast parenchymal complexity patterns associated with breast cancer risk.","Conference and Workshop Papers","https://dblp.org/rec/conf/micad/OustimovGHPCK17","Medical Imaging - Computer-Aided Diagnosis","","2017","URL#975444"
"984936","3","209/2995","Randi J. Reidunsdatter","","http://ceur-ws.org/Vol-2001/paper1.pdf","conf/pahi/BrattheimSGSLR17","","","","Breast cancer patients experiences with information and communication in cancer disease trajectories.","Conference and Workshop Papers","https://dblp.org/rec/conf/pahi/BrattheimSGSLR17","PAHI","","2017","URL#984936"
"1059205","3","219/3953","Rima Daoudi-Dabladji","","https://tel.archives-ouvertes.fr/tel-01762795","phd/hal/DaoudiDabladji16","","","","Classification du cancer du sein par des approches basées sur les systèmes immunitaires artificiels. (Breast cancer classification using artificial immune system approaches).","Books and Theses","https://dblp.org/rec/phd/hal/DaoudiDabladji16","","","2016","URL#1059205"
"1059352","3","181/5350","Sègbédji R. T. J. Goubalan","","https://tel.archives-ouvertes.fr/tel-01762120","phd/hal/Goubalan16","","","","Contributions à l&apos;analyse d&apos;images médicales pour la reconnaissance du cancer du sein. (Contributions to medical images analysis for breast cancer recognition).","Books and Theses","https://dblp.org/rec/phd/hal/Goubalan16","","","2016","URL#1059352"
"1114037","3","53/1114","Sun Kim","10.1142/S0219720016440029","https://doi.org/10.1142/S0219720016440029","journals/jbcb/ParkHRLKKHK16","5","1-23","","Information theoretic sub-network mining characterizes breast cancer subtypes in terms of cancer core mechanisms.","Journal Articles","https://dblp.org/rec/journals/jbcb/ParkHRLKKHK16","J. Bioinformatics and Computational Biology","14","2016","URL#1114037"
"1181527","3","200/4443","Scott D. Ramsey","","http://knowledge.amia.org/amia-63300-1.3360278/t005-1.3362920/f005-1.3362921/2499802-1.3364201/2495555-1.3364196","conf/amia/EganLKFANKMSGR16","","","","A Maximum Entropy Model of Follow-up - Using Cancer Registry and Insurance Data to Identify Encounters for Breast Cancer Surveillance.","Conference and Workshop Papers","https://dblp.org/rec/conf/amia/EganLKFANKMSGR16","AMIA","","2016","URL#1181527"
"1215108","3","17/5795","Babak Fahimi","10.1109/EMBC.2016.7590885","https://doi.org/10.1109/EMBC.2016.7590885","conf/embc/LiF16","","1058-1061","","Thermal analysis of multiple-antenna-excited breast model for breast cancer detection.","Conference and Workshop Papers","https://dblp.org/rec/conf/embc/LiF16","EMBC","","2016","URL#1215108"
"1280800","3","62/1352","Thomas Mertelmeier","10.1007/978-3-319-41546-8_8","https://doi.org/10.1007/978-3-319-41546-8_8","conf/mammo/UchiyamaKMAMOJK16","","59-67","","Diagnostic Usefulness of Synthetic MMG (SMMG) with DBT (Digital Breast Tomosynthesis) for Clinical Setting in Breast Cancer Screening.","Conference and Workshop Papers","https://dblp.org/rec/conf/mammo/UchiyamaKMAMOJK16","Digital Mammography / IWDM","","2016","URL#1280800"
"1337225","3","192/1728","Mojgan Akbarzadeh Jahromi","","http://arxiv.org/abs/1612.01237","journals/corr/FaridiDHJ16","","","","Cancerous Nuclei Detection and Scoring in Breast Cancer Histopathological Images.","Informal Publications","https://dblp.org/rec/journals/corr/FaridiDHJ16","CoRR","abs/1612.01237","2016","URL#1337225"
"1476294","3","84/8680","Priya Nambisan","","http://knowledge.amia.org/59310-amia-1.2741865/t005-1.2744350/f005-1.2744351/2246994-1.2745079/2248784-1.2745076","conf/amia/KapoorN15","","","","aceso (After Cancer Education and Support Operations) - a clinical decision support system approach for engaging breast cancer survivors.","Conference and Workshop Papers","https://dblp.org/rec/conf/amia/KapoorN15","AMIA","","2015","URL#1476294"
"1476589","3","35/5410","Daniel L. Rubin","","http://knowledge.amia.org/59310-amia-1.2741865/t001-1.2745946/f001-1.2745947/2247587-1.2746182/2249076-1.2746179","conf/amia/SisternesRJSR15","","","","Polychromatic X-Ray Absorptiometry to Quantify Breast Density Volume, Ratio and their Associated Breast Cancer Risk in Full-Digital Mammography.","Conference and Workshop Papers","https://dblp.org/rec/conf/amia/SisternesRJSR15","AMIA","","2015","URL#1476589"
"1508871","3","05/3382-1","Hung T. Nguyen 0001","10.1109/EMBC.2015.7318974","https://doi.org/10.1109/EMBC.2015.7318974","conf/embc/TruongTFWNN15","","2804-2807","","Breast Cancer classification using extracted parameters from a terahertz dielectric model of human breast tissue.","Conference and Workshop Papers","https://dblp.org/rec/conf/embc/TruongTFWNN15","EMBC","","2015","URL#1508871"
"1567047","3","01/6762","Jorma Isola","10.1109/ISDA.2015.7489216","https://doi.org/10.1109/ISDA.2015.7489216","conf/isda/IkonenPBHTTI15","","148-153","","Morphological extraction of cancerous nucleus in the diagnostics of breast cancer.","Conference and Workshop Papers","https://dblp.org/rec/conf/isda/IkonenPBHTTI15","ISDA","","2015","URL#1567047"
"1579959","3","23/5107","David Gur","10.1117/12.2082466","https://doi.org/10.1117/12.2082466","conf/micad/WuKBZJSG15","","94140M","","Signal enhancement ratio (SER) quantified from breast DCE-MRI and breast cancer risk.","Conference and Workshop Papers","https://dblp.org/rec/conf/micad/WuKBZJSG15","Medical Imaging - Computer-Aided Diagnosis","","2015","URL#1579959"
"1649888","3","130/0563","Anissa Aroua","","https://tel.archives-ouvertes.fr/tel-01062600","phd/hal/Aroua14","","","","Conception et réalisation d&apos;un consultant basé sur le contexte - application en histopathologie pour la gradation du cancer du sein. (Design and implementation of a context-based consultant - application on histopathology for breast cancer gradation).","Books and Theses","https://dblp.org/rec/phd/hal/Aroua14","","","2014","URL#1649888"
"1649969","3","182/1074","Sophie Blein","","https://tel.archives-ouvertes.fr/tel-01188595","phd/hal/Blein14","","","","Étude de la variabilité du génome mitochondrial comme facteur de susceptibilité au cancer du sein. (Mitochondrial genome variability as a susceptibility factor for breast cancer).","Books and Theses","https://dblp.org/rec/phd/hal/Blein14","","","2014","URL#1649969"
"1660570","3","157/1778","Moses Galukande","10.1186/S12880-014-0041-0","https://doi.org/10.1186/s12880-014-0041-0","journals/bmcmi/JimmyKBG14","","241","","Breast cancer detection using sonography in women with mammographically dense breasts.","Journal Articles","https://dblp.org/rec/journals/bmcmi/JimmyKBG14","BMC Medical Imaging","14","2014","URL#1660570"
"1662175","3","79/4807","Heinz Handels","10.1007/S11548-014-0976-1","https://doi.org/10.1007/s11548-014-0976-1","journals/cars/KrugerEBH14","3","367-377","","Simulation of mammographic breast compression in 3D MR images using ICP-based B-spline deformation for multimodality breast cancer diagnosis.","Journal Articles","https://dblp.org/rec/journals/cars/KrugerEBH14","Int. J. Comput. Assist. Radiol. Surg.","9","2014","URL#1662175"
"1677315","3","99/6844","Subhagata Chattopadhyay","10.1111/J.1468-0394.2012.00654.X","https://doi.org/10.1111/j.1468-0394.2012.00654.x","journals/es/AcharyaNSCC14","1","37-47","","Higher order spectra analysis of breast thermograms for the automated identification of breast cancer.","Journal Articles","https://dblp.org/rec/journals/es/AcharyaNSCC14","Expert Systems","31","2014","URL#1677315"
